sofifa_id,short_name,long_name,player_positions,nationality
201995,Felipe Anderson,Felipe Anderson Pereira Gomes,"LM, CAM",Brazil
202371,T. Meunier,Thomas Meunier,"RB, RM",Belgium
202651,Suso,Jesus Joaquin Fernandez Saez de la Torre,"RW, CAM",Spain
203551,A. Florenzi,Alessandro Florenzi,RB,Italy
204259,S. Arias,Santiago Arias Naranjo,RB,Colombia
204399,E. Zahavi,Eran Zahavi,"ST, LM",Israel
208461,M. de Roon,Marten de Roon,"CDM, CM",Netherlands
215998,I. Fernandez,Ignacio Martin Fernandez,"CM, CAM",Argentina
216189,Capa,Ander Capa Rodriguez,RB,Spain
216409,M. Politano,Matteo Politano,"RM, RW, ST",Italy
223689,W. Weghorst,Wout Weghorst,ST,Netherlands
230225,Juiano Mestres,Juan Everton Mestres de Mesquita,"CB, CDM",Brazil
230256,Adryan Zonta,Adryan Juliano Zonta Torres,"LWB, LB",Brazil
230258,Rosberto Dourado,Rosberto J. Dourado Santos,"CDM, CM, CAM",Brazil
230294,Louri Beretta,Lourival Adnan Beretta Barbosa,"ST, CF",Brazil
230347,Welington Dano,Welington Kaue Dano Nascimento,"LB, LM",Brazil
230384,Nuno Padrenda,Nuno Ailton Padrenda Mendes,"CAM, CM, ST",Brazil
230430,Oswaldinato,Marvin Oswaldo Rangel Azevedo,ST,Brazil
238794,Vinicius Jr.,Vinicius Jose Paixao de Oliveira Junior,LW,Brazil
224232,N. Barella,Nicolo Barella,"CM, CAM",Italy
226166,N. Mukiele,Nordi Mukiele Mulere,"RB, CB, RWB",France
233064,M. Mount,Mason Mount,"CAM, CM, LW",England
233306,D. Henderson,Dean Henderson,GK,England
235569,T. Ndombele,Tanguy Ndombele Alvaro,"CM, CDM",France
240130,Eder Militao,Eder Gabriel Militao,"CB, RB",Brazil
216388,A. Saint-Maximin,Allan Saint-Maximin,"LM, LW, ST",France
224458,Diogo Jota,Diogo Jose Teixeira da Silva,"LW, ST, CM",Portugal
225193,Merino,Mikel Merino Zazon,CM,Spain
228093,M. Thuram,Marcus Thuram,"LW, ST",France
230869,Unai Simon,Unai Simon Mendibil,GK,Spain
232411,C. Nkunku,Christopher Nkunku,"CAM, ST",France
241095,N. Vlasic,Nikola Vlasic,CAM,Croatia
241671,D. Livakovic,Dominik Livakovic,GK,Croatia
244369,V. Tsygankov,Viktor Tsygankov,RM,Ukraine
203747,Hector Bellerin,Hector Bellerin Moruno,"RB, RWB",Spain
220651,Angelino,Jose Angel Esmoris Tasende,LB,Spain
222331,L. Klostermann,Lukas Klostermann,"CB, RB, RWB",Germany
222509,Dani Ceballos,Daniel Ceballos Fernandez,"CM, CAM",Spain
227813,O. Zinchenko,Oleksandr Zinchenko,LB,Ukraine
229906,L. Bailey,Leon Bailey Butler,"LM, RM",Jamaica
232119,C. Soyuncu,Caglar Soyuncu,CB,Turkey
